GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis FreeMarker,org.mybatis.scripting.freemarker,FreeMarkerLanguageDriverConfig,6,195,0,2,2,48,0,17,0,16
MyBatis FreeMarker,org.mybatis.scripting.freemarker,ParamObjectAdapter,7,67,1,11,2,14,3,8,2,3
MyBatis FreeMarker,org.mybatis.scripting.freemarker,FreeMarkerLanguageDriverConfig.TemplateFileConfig.PathProviderConfig,0,53,0,0,0,21,0,11,0,11
MyBatis FreeMarker,org.mybatis.scripting.freemarker,FreeMarkerLanguageDriverConfig.TemplateFileConfig,0,21,0,0,0,7,0,4,0,4
MyBatis FreeMarker,org.mybatis.scripting.freemarker,GeneratedParamsTemplateModel,0,9,0,0,0,4,0,2,0,2
MyBatis FreeMarker,org.mybatis.scripting.freemarker,FreeMarkerSqlSource,6,177,0,14,2,39,0,10,0,3
MyBatis FreeMarker,org.mybatis.scripting.freemarker,MyBatisParamDirective,34,97,6,10,7,23,4,7,0,3
MyBatis FreeMarker,org.mybatis.scripting.freemarker,FreeMarkerLanguageDriver,12,131,0,2,4,31,0,10,0,9
MyBatis FreeMarker,org.mybatis.scripting.freemarker.support,TemplateFilePathProvider,2,259,1,39,0,59,1,28,0,9
